protocol,study_type,M,requested_Tp_us,Tp_us,payload_slots,effective_M,payload_quantization_error_us,best_q,q_selection_mode,q_search_boundary_hit,n_eval_runs,payload_airtime_fraction_mean,payload_airtime_fraction_ci95,effective_payload_fraction_mean,effective_payload_fraction_ci95,completed_pkt_s_mean,completed_pkt_s_ci95,normalized_goodput_units_s_mean,normalized_goodput_units_s_ci95,goodput_bit_s_mean,jain_fairness_mean,collision_channel_fraction_mean,slo_completed_pkt_s_mean,slo_payload_airtime_fraction_mean,condition_elapsed_s,timeout_exceeded
sf_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.370409333333333,0.0019136350812466,0.370409333333333,0.0019136350812466,20578.3333333333,106.288719585434,1870.75757575758,9.66261087140309,NaN,0.997891518430958,0.265313333333333,NaN,NaN,6.4606029,0
sf_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.025,fixed_theoretical_q,0,3,0.0360425,0.00037188654295811,0.0360425,0.00037188654295811,2218,22.885325720499,221.8,2.28853257204991,NaN,0.983902584964972,0.256094166666667,NaN,NaN,0.8245952,0
sb_cf,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00882865195607039,maximum_effective_payload_throughput,0,3,0.226506666666667,0.000590390853653561,0.226506666666667,0.000590390853653561,13938.6666666667,35.8262647291682,1267.15151515152,3.25693315719713,NaN,0.993871981550355,0.344619166666667,NaN,NaN,270.1707847,0
sb_cb,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.00464158883361278,maximum_effective_payload_throughput,0,3,0.0512579166666667,0.000119643757092092,0.0512579166666667,0.000119643757092092,3154.33333333333,7.36269274412864,315.433333333333,0.736269274412869,NaN,0.98564115652319,0.105323166666667,NaN,NaN,153.8172843,0
s7_clean,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.0126514899795262,maximum_effective_payload_throughput,0,3,0.0902008833333334,0.000350026662482228,0.0902008833333334,0.000350026662482228,5551,21.6784624301018,504.636363636364,1.97076931182745,NaN,0.992182044485997,0.0427822999999556,0,0,55.8785059,0
s7_busy,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.0292401773821287,maximum_effective_payload_throughput,0,3,0.0387833333333333,0.000125168654001091,0.0387833333333333,0.000125168654001091,2386.66666666667,7.70268640006704,216.969696969697,0.700244218187915,NaN,0.985466648598591,0.14466059999985,2216.66666666667,0.0360208333333333,110.0770064,0
unslotted,saturation_throughput,0.1,19.8,18,2,0.0909090909090909,-1.8,0.003,maximum_effective_payload_throughput,0,3,0.05230875,0.00141807035644686,0.05230875,0.00141807035644686,3219,87.2658680890377,321.9,8.72658680890379,NaN,0.983348391882946,0.084216,NaN,NaN,51.1279511,0
sf_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.371556,0.00143221157766581,0.371556,0.00143221157766581,10321,39.7836549351615,1876.54545454545,7.23339180639304,NaN,0.996187761427476,0.267737333333333,NaN,NaN,8.7536763,0
sf_cb,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.025,fixed_theoretical_q,0,3,0.0684991666666667,0.003287465876291,0.0684991666666667,0.003287465876291,2107.66666666667,101.152796193569,421.533333333333,20.2305592387139,NaN,0.98271678584883,0.249329166666667,NaN,NaN,1.921154,0
sb_cf,saturation_throughput,0.2,39.6,36,4,0.181818181818182,-3.6,0.00352534171408709,maximum_effective_payload_throughput,0,3,0.195887666666667,0.00194494987837162,0.195887666666667,0.00194494987837162,6027.33333333333,59.882553200225,1095.87878787879,10.8877369454955,NaN,0.992892013043121,0.280323333333333,NaN,NaN,416.4999267,0
