load_mode,lambda_base,lambda_effective,M,Tp_us,n_nodes,q_opt,ps_opt,service_cycle_us,capacity_system_pkt_s,capacity_per_node_pkt_s,offered_aggregate_pkt_s,offered_normalized_units_s,rho,theory_stable
fixed_packet,5,5,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,200,200,0.14000080150175,1
fixed_packet,5,5,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,200,400,0.17800080150175,1
fixed_packet,5,5,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,200,600,0.21600080150175,1
fixed_packet,5,5,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,200,800,0.25400080150175,1
fixed_packet,5,5,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,200,1000,0.29200080150175,1
fixed_packet,5,5,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,200,1200,0.33000080150175,1
fixed_packet,10,10,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,400,400,0.2800016030035,1
fixed_packet,10,10,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,400,800,0.3560016030035,1
fixed_packet,10,10,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,400,1200,0.4320016030035,1
fixed_packet,10,10,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,400,1600,0.5080016030035,1
fixed_packet,10,10,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,400,2000,0.5840016030035,1
fixed_packet,10,10,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,400,2400,0.6600016030035,1
fixed_packet,15,15,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,600,600,0.42000240450525,1
fixed_packet,15,15,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,600,1200,0.53400240450525,1
fixed_packet,15,15,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,600,1800,0.64800240450525,1
fixed_packet,15,15,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,600,2400,0.76200240450525,1
fixed_packet,15,15,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,600,3000,0.87600240450525,1
fixed_packet,15,15,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,600,3600,0.99000240450525,1
fixed_payload,5,5,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,200,200,0.14000080150175,1
fixed_payload,5,2.5,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,100,200,0.089000400750875,1
fixed_payload,5,1.66666666666667,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,66.6666666666667,200,0.07200026716725,1
fixed_payload,5,1.25,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,50,200,0.0635002003754375,1
fixed_payload,5,1,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,40,200,0.05840016030035,1
fixed_payload,5,0.833333333333333,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,33.3333333333333,200,0.055000133583625,1
fixed_payload,10,10,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,400,400,0.2800016030035,1
fixed_payload,10,5,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,200,400,0.17800080150175,1
fixed_payload,10,3.33333333333333,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,133.333333333333,400,0.1440005343345,1
fixed_payload,10,2.5,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,100,400,0.127000400750875,1
fixed_payload,10,2,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,80,400,0.1168003206007,1
fixed_payload,10,1.66666666666667,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,66.6666666666667,400,0.11000026716725,1
fixed_payload,15,15,1,190,40,0.025,0.372546092192698,700.00400750875,1428.56325002897,35.7140812507241,600,600,0.42000240450525,1
fixed_payload,15,7.5,2,380,40,0.025,0.372546092192698,890.00400750875,1123.59044629377,28.0897611573443,300,600,0.267001202252625,1
fixed_payload,15,5,3,570,40,0.025,0.372546092192698,1080.00400750875,925.922490145851,23.1480622536463,200,600,0.21600080150175,1
fixed_payload,15,3.75,4,760,40,0.025,0.372546092192698,1270.00400750875,787.399090150596,19.6849772537649,150,600,0.190500601126312,1
fixed_payload,15,3,5,950,40,0.025,0.372546092192698,1460.00400750875,684.929626807211,17.1232406701803,120,600,0.17520048090105,1
fixed_payload,15,2.5,6,1140,40,0.025,0.372546092192698,1650.00400750875,606.059134068314,15.1514783517078,100,600,0.165000400750875,1
