protocol,load_mode,lambda_base,lambda_effective,M,Tp_us,best_q,q_tuning_best_q,q_selection_mode,q_stable_basin_left,q_stable_basin_right,q_search_boundary_hit,q_refinement_passes,q_preferred_neighbor_radius,q_neighbor_radius_used,q_validation_runs,q_validation_candidates_tested,q_validation_passed,q_validation_selected_rank,stable_fraction,n_arrived,n_arrived_ci95,n_completed,n_completed_ci95,n_eligible,n_eligible_ci95,n_completed_eligible,n_completed_eligible_ci95,n_structural_censored,n_structural_censored_ci95,n_censored,n_censored_ci95,raw_completion_ratio,raw_completion_ratio_ci95,final_backlog,final_backlog_ci95,mean_delay_us,mean_delay_us_ci95,mean_queue_delay_us,mean_queue_delay_us_ci95,mean_access_delay_us,mean_access_delay_us_ci95,conditional_mean_delay_us,conditional_mean_delay_us_ci95,p50_delay_us,p50_delay_us_ci95,p95_delay_us,p95_delay_us_ci95,p99_delay_us,p99_delay_us_ci95,conditional_p50_delay_us,conditional_p50_delay_us_ci95,conditional_p95_delay_us,conditional_p95_delay_us_ci95,conditional_p99_delay_us,conditional_p99_delay_us_ci95,mean_boundary_wait_us,mean_boundary_wait_us_ci95,mean_difs_wait_us,mean_difs_wait_us_ci95,mean_probability_wait_us,mean_probability_wait_us_ci95,mean_busy_nav_wait_us,mean_busy_nav_wait_us_ci95,mean_collision_delay_us,mean_collision_delay_us_ci95,mean_control_delay_us,mean_control_delay_us_ci95,mean_data_delay_us,mean_data_delay_us_ci95,mean_other_access_delay_us,mean_other_access_delay_us_ci95,arrival_rate_pkt_s,arrival_rate_pkt_s_ci95,eligible_arrival_rate_pkt_s,eligible_arrival_rate_pkt_s_ci95,goodput_pkt_s,goodput_pkt_s_ci95,normalized_offered_units_s,normalized_offered_units_s_ci95,normalized_goodput_units_s,normalized_goodput_units_s_ci95,goodput_bit_s,goodput_bit_s_ci95,payload_airtime,payload_airtime_ci95,mean_system_packets,mean_system_packets_ci95,mean_waiting_packets,mean_waiting_packets_ci95,mean_service_packets,mean_service_packets_ci95,backlog_slope_pkt_s,backlog_slope_pkt_s_ci95,completion_ratio,completion_ratio_ci95,little_relative_error,little_relative_error_ci95,jain_fairness,jain_fairness_ci95,attempts_total,attempts_total_ci95,retransmissions_completed_cohort,retransmissions_completed_cohort_ci95,mean_attempts_completed,mean_attempts_completed_ci95,collision_waste_us_total,collision_waste_us_total_ci95,collision_channel_time_us_total,collision_channel_time_us_total_ci95,collision_tx_airtime_us_total,collision_tx_airtime_us_total_ci95,collision_channel_time_us_measure,collision_channel_time_us_measure_ci95,collision_tx_airtime_us_measure,collision_tx_airtime_us_measure_ci95,stability_rate_ok,stability_rate_ok_ci95,stability_censor_ok,stability_censor_ok_ci95,stability_slope_ok,stability_slope_ok_ci95,stability_rate_relative_error,stability_rate_relative_error_ci95,stability_allowed_censored,stability_allowed_censored_ci95,stability_slope_limit_pkt_s,stability_slope_limit_pkt_s_ci95,condition_elapsed_s,timeout_exceeded,fixed_M_baseline
sf_cb,fixed_packet,8,8,1,162.5,0.7,0.7,self_stable,0.7,0.729942725678815,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,532.311820365266,110.142471327817,0.365781710914454,1.5738316769585,531.946038654351,110.658743840628,532.311820365266,110.142471327817,452.333333333333,14.5026277214238,929.933333333333,308.335940414018,1989.22666666666,3137.94343024242,452.333333333333,14.5026277214238,929.933333333333,308.335940414018,1989.22666666666,3137.94343024242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,NaN,NaN,0.0514041666666667,0.00827610418391183,0,0,0,0,0.0514041666666667,0.00827610418391183,0.0298592670463294,0.0152265846756738,1,0,757511462123221,157151818727801,0.888206993723963,0.0358839550919782,453.666666666667,119.195474970996,50.3333333333333,130.513799469067,1.1628350822896,0.432707433016511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,3,0,15.8166666666667,2.43816988019136,4.5308273,0,0
sb_cb,fixed_packet,8,8,1,162.5,0.31748021039364,0.31748021039364,self_stable,0.0002,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,415.992804294212,53.5283124149151,0.631407063526605,2.16425322631793,415.361397230685,53.5996004176641,415.992804294212,53.5283124149151,379,0,622,291.288318707401,1012.84,685.935128655088,379,0,622,291.288318707401,1012.84,685.935128655088,0,0,37.2943227428793,1.92457020632938,0,0,44.3372777535987,30.9411861261815,8.72979673420701,21.473316084786,162.5,0,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,NaN,NaN,0.051408,0.00826752352181478,0.131617666666667,0.0242691653032921,0.079993,0.0186975330589747,0.0516246666666667,0.00815816375935795,0.0270342324365778,0.148434272743456,1,0,0.00129269405483394,0.00326662860265884,0.888206993723963,0.0358839550919782,418,54.4813933579366,21.6666666666667,48.4459930749101,1.06961329529152,0.161298216762711,386.666666666667,534.667483267701,NaN,NaN,386.666666666667,534.667483267701,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,3,0,15.8166666666667,2.43816988019136,79.38561,0,0
unslotted,fixed_packet,8,8,1,162.5,0.459192951084223,0.459192951084223,self_stable,0.0002,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,390.366968403737,99.9134979889278,0.378417840668454,1.3103406826592,389.988550563068,100.368187110829,390.366968403737,99.9134979889278,336.831610556711,2.27168218234473,660.479289716106,678.010556955425,1698.65317068718,2360.51412352462,336.831610556711,2.27168218234473,660.479289716106,678.010556955425,1698.65317068718,2360.51412352462,0,0,0,0,17.1466676834339,5.99834452770732,24.445262062384,41.5926665415493,23.3966208172503,53.840438392081,162.5,0,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,NaN,NaN,0.0514486961566126,0.00817792402206752,0.123341796328888,0.0271478998526918,0.0713514335056089,0.0264247686357237,0.0519903628232793,0.00739002259543694,0.0206245629937789,0.111425239070871,1,0,0.00100798782660903,0.00379337592855918,0.888206993723963,0.0358839550919782,460,96.8813707582628,55,126.934332575252,1.177587568709,0.422295115517361,908.666666666667,1268.5654464878,NaN,NaN,908.666666666667,1268.5654464878,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,3,0,15.8166666666667,2.43816988019136,10.0193855,0,0
s7_clean,fixed_packet,8,8,1,162.5,0.729942725678815,0.729942725678815,self_stable,0.0001,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,300.21481212819,17.7593431173859,0.244641101278201,1.05260570222356,299.970171026912,17.8978436384697,300.21481212819,17.7593431173859,281.900000000023,0,390.949999999985,179.994291576245,591.649999999946,242.404272144402,281.900000000023,0,390.949999999985,179.994291576245,591.649999999946,242.404272144402,0.0119960668633922,0.0516149098360314,34.4459016393443,1.10768107802638,3.68217031771362,1.27555239556537,14.8363325111874,14.9592088076256,1.09377049180328,2.71707652668823,83.3999999999999,4.32356006612146e-14,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.666666666667,50.1976151804104,316.333333333333,48.7633976038272,316.666666666667,50.1976151804104,NaN,NaN,0.0514583333333333,0.00815711246681669,0.095051666666649,0.015416924707515,0.0435933333333156,0.00828043490159097,0.0514583333333333,0.00815711246681669,0.0238800238800239,0.120050104809018,1,0,0.000916809150404186,0.00394471139364554,0.887743666473456,0.0348871918823281,395.666666666667,31.0600007521514,4,9.93655084700132,1.01311475409836,0.0325788552360698,178,276.139143669757,89,138.069571834878,178,276.139143669757,53.3999999999651,132.652953807453,106.79999999993,265.305907614906,1,0,1,0,1,0,0,0,3,0,15.8166666666667,2.43816988019136,27.4055282,0,0
s7_busy,fixed_packet,8,8,1,162.5,0.692820323027551,0.692820323027551,self_stable,0.01,0.9,0,1,1,0,0,0,1,NaN,1,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,0,0,0,0,1,0,0,0,833.874089656117,44.2752466281756,3.61453842061969,14.3429887763703,830.259551235497,45.7908662274821,833.874089656117,44.2752466281756,614.899999999907,118.303390939112,2074.69999999995,296.777090008278,3515.47999999997,819.661656679761,614.899999999907,118.303390939112,2074.69999999995,296.777090008278,3515.47999999997,819.661656679761,0.024660766961914,0.0677953114891089,67.3461643857698,2.85410011122974,7.89656172929058,1.14742736989849,427.295984654263,35.5861227235936,81.7961796992117,7.00093968460473,83.3999999999999,4.32356006612146e-14,162.5,0,0,0,316.333333333333,48.7633976038272,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,316.333333333333,48.7633976038272,316.333333333333,50.9298719009959,NaN,NaN,0.0514041666666667,0.00827610418391183,0.263816699999982,0.0438849026093434,0.212412533333316,0.0360572577953014,0.0514041666666667,0.00827610418391183,-0.0145720145720147,0.402515331789788,1,0,0.000978747751051677,0.00211809988452206,0.888206993723963,0.0358839550919782,803,80.5335837999161,310,38.5641878067797,1.98076954075793,0.0839441209185219,72116.7000000003,1384.93749706227,32974.5000000006,831.068373564027,72116.7000000003,1384.93749706227,26784.0999999726,1307.70896099422,58285.1999999406,2789.54475441799,1,0,1,0,1,0,0,0,3,0,15.8166666666667,2.43816988019136,100.2295567,0,0
sf_cb,fixed_packet,15,15,1,162.5,0.528840463202608,0.661825303382485,self_stable,0.625732474567597,0.7,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,710.086242240547,93.2847983492585,5.48374380810869,5.272404548184,704.602498432438,89.162759164325,710.086242240547,93.2847983492585,544,34.6223212423016,1600.275,456.138381112964,3563.01833333333,3542.74397073818,544,34.6223212423016,1600.275,456.138381112964,3563.01833333333,3542.74397073818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,589,38.803471516211,589,38.803471516211,588,38.803471516211,589,38.803471516211,588,38.803471516211,NaN,NaN,0.0955833333333333,0.00616244340253593,0,0,0,0,0.0955833333333333,0.00616244340253593,0.268110522720412,0.486245657796019,1,0,1.88184861989515e+15,123251864579183,0.952048360313531,0.0319380605851751,936.666666666667,227.625285623699,204.666666666667,237.872670576944,1.35051885875282,0.432353486603298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,5.3756349,0,0
sb_cb,fixed_packet,15,15,1,162.5,0.528840463202608,0.528840463202608,self_stable,0.0005,0.8,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,500.032319631541,93.963790153875,7.92719718688522,12.932614826908,492.105122444656,82.5909691923919,500.032319631541,93.963790153875,370,0,1165.9,500.394442876354,2979.91,2157.46035044768,370,0,1165.9,500.394442876354,2979.91,2157.46035044768,0,0,40.4146472586063,3.28912274523499,0,0,73.8246466023753,35.3774424666964,52.865828583674,44.1837349116963,162.5,0,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.333333333333,39.6166099442618,589,38.803471516211,588.333333333333,39.6166099442618,NaN,NaN,0.0956868333333333,0.00637599232174057,0.294215666666667,0.0468658828497634,0.196253833333333,0.0464112005355495,0.0979618333333333,0.00647017229104322,-0.0146360146360147,0.386736297794145,1,0,0.000729849297622323,0.00145407341551052,0.951910306596561,0.0314196979083245,978.666666666667,343.802625083412,218.666666666667,168.744703409544,1.37260165911172,0.300935615815023,3673.33333333333,4606.80598203629,NaN,NaN,3673.33333333333,4606.80598203629,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,323.7007421,0,0
unslotted,fixed_packet,15,15,1,162.5,0.387298334620742,0.249804953296681,self_stable,0.0005,0.387298334620742,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,466.564582510736,51.0540076434213,4.88603758161549,11.8333491707459,461.67854492912,39.3771804201979,466.564582510736,51.0540076434213,343.376885396816,0.616386944462924,1004.924983645,87.9790502539104,2717.67292368413,1584.40095362138,343.376885396816,0.616386944462924,1004.924983645,87.9790502539104,2717.67292368413,1584.40095362138,0,0,0,0,26.9940620487027,3.61281839315135,49.7947489327838,10.4174841669781,59.8897339476336,29.1611937382068,162.5,0,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.666666666667,40.4642573805096,589,38.803471516211,588.666666666667,40.4642573805096,NaN,NaN,0.0957087823235232,0.00636007555809352,0.274779449111154,0.0372305309001326,0.175766500120964,0.0298656306756852,0.0990129489901899,0.0097474436749851,0.0901542519469121,0.319202592554932,1,0,0.000619072474806855,0.00139973114910783,0.952188811980908,0.0324680863214691,1079,464.228115897501,256,107.336598134771,1.43452554386255,0.174789551321826,4872,6460.24442096678,NaN,NaN,4872,6460.24442096678,NaN,NaN,NaN,NaN,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,66.7139467,0,0
s7_clean,fixed_packet,15,15,1,162.5,0.830312652444971,0.830312652444971,self_stable,0.0004,0.963492483998996,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,321.774805291001,20.8669435017598,1.72495186152519,3.10475648763299,320.049853429476,17.8346569047641,321.774805291001,20.8669435017598,281.900000000023,0,524.899999999967,59.1516954696897,910.039999999936,528.027652291736,281.900000000023,0,524.899999999967,59.1516954696897,910.039999999936,528.027652291736,0.0490445131393837,0.102108979996278,36.5955626362355,2.69936635864392,2.1941394637097,0.669140644080098,28.9443443498607,8.21470941874392,6.36676246653059,6.62138689149715,83.3999999999998,2.49620856803274e-14,162.5,0,0,0,589,38.803471516211,589,38.803471516211,589,39.0412886854702,589,38.803471516211,589,39.0412886854702,NaN,NaN,0.0957066333333333,0.00632894086304498,0.189418433333301,0.0073800431993305,0.0937117999999678,0.00784122516382557,0.0957066333333333,0.00632894086304498,0.0276280276280276,0.155023077963939,1,0,0.000683768057384619,0.0016205801186483,0.952595731926886,0.0324679956962755,764,108.024292931025,44.6666666666667,43.6200246756756,1.07634007753634,0.0793931281954095,1602,2858.20175231265,765.4,1303.67104530206,1602,2858.20175231265,587.399999999189,566.693667078924,1192.59999999837,1164.65465883996,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,32.7690738,0,0
s7_busy,fixed_packet,15,15,1,162.5,0.528840463202608,0.528840463202608,self_stable,0.004,0.827677252914336,0,1,1,0,0,0,1,NaN,1,589,38.803471516211,589,38.803471516211,589,38.803471516211,589,38.803471516211,0,0,0,0,1,0,0,0,1064.94515546158,66.5472074390038,16.1208090620381,21.1613904321056,1048.82434639954,73.7699570891377,1064.94515546158,66.5472074390038,782.899999999985,51.6318327569101,2734.54999999991,257.774058043083,4098.64999999995,492.148318685291,782.899999999985,51.6318327569101,2734.54999999991,257.774058043083,4098.64999999995,492.148318685291,0.0971130245885572,0.0837006156136969,73.3440590720266,7.74894576799233,17.3719931268575,2.90472740714898,615.602518628803,44.1796860486998,96.5086625472651,19.0077081485459,83.3999999999998,2.49620856803274e-14,162.5,0,0,0,589,38.803471516211,589,38.803471516211,588.333333333333,39.6166099442618,589,38.803471516211,588.333333333333,39.6166099442618,NaN,NaN,0.0956041666666667,0.00643769911594254,0.626746499999968,0.0525159241915949,0.531142333333301,0.0484016582044268,0.0956041666666667,0.00643769911594254,0.136904136904137,0.874616194639392,1,0,0.00093717304622573,0.00150590273141348,0.951910306596561,0.0314196979083245,1530.66666666667,148.848017097078,681.666666666667,147.410777495871,2.15717820800078,0.227910169646833,88101.0999999994,6617.4858151984,39667.2999999999,3017.18650129351,88101.0999999994,6617.4858151984,33036.7999999666,3720.39708102711,73051.1999999264,7563.2544320984,1,0,1,0,1,0,0,0,5,0,29.45,1.94017357581055,154.4584491,0,0
