n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
68,68,0,1,584.205882352941,0,584.205882352941,985.499999999999,1,0,1,1,baseline,1,1,198,0.55,1,0,1
79,79,0,1,678.53164556962,0,678.53164556962,1213.65,1,0,1,1,baseline,1,1,198,0.55,2,0,1
85,85,0,1,670.658823529412,4.97647058823529,665.682352941176,1251,1.02352941176471,0,1,1,baseline,1,1,198,0.55,3,198,1
83,83,0,1,702.975903614458,0,702.975903614458,1362.15,1,0,1,1,baseline,1,1,198,0.55,4,0,1
86,86,0,1,651.03488372093,0,651.03488372093,1123.2,1,0,1,1,baseline,1,1,198,0.55,5,0,1
68,68,0,1,482.294117647059,0,482.294117647059,567,1,0,1,1,fast_first,1,1,198,0.5,1,0,1
79,79,0,1,498.075949367089,0,498.075949367089,585,1,0,1,1,fast_first,1,1,198,0.5,2,0,1
85,85,0,1,505.270588235294,4.97647058823529,500.294117647059,605.25,1.02352941176471,0,1,1,fast_first,1,1,198,0.5,3,198,1
83,83,0,1,490.66265060241,0,490.66265060241,585,1.02409638554217,0,1,1,fast_first,1,1,198,0.5,4,198,1
86,86,0,1,492.174418604651,0,492.174418604651,577.8,1,0,1,1,fast_first,1,1,198,0.5,5,0,1
68,68,0,1,433.098655544595,0,433.098655544595,396,1.02941176470588,0,1,1,unslotted,1,1,198,0.25,1,297,1
79,79,0,1,415.928887180283,0,415.928887180283,396,1.0253164556962,0,1,1,unslotted,1,1,198,0.25,2,369,1
85,85,0,1,463.169751649269,2.75294117647059,460.416810472799,631.14548140156,1.05882352941176,0,1,1,unslotted,1,1,198,0.25,3,765.44523875392,1
83,83,0,1,432.188604958516,0,432.188604958516,396,1.03614457831325,0,1,1,unslotted,1,1,198,0.25,4,400.736766179907,1
86,86,0,1,396,0,396,396,1,0,1,1,unslotted,1,1,198,0.25,5,0,1
68,68,0,1,654.088235294118,0,654.088235294118,1231.2,1.08823529411765,0,1,1,batch_clear,1,1,198,0.6,1,594,1
79,79,0,1,605.848101265823,0,605.848101265823,958.95,1,0,1,1,batch_clear,1,1,198,0.6,2,0,1
85,85,0,1,635.717647058824,7.30588235294118,628.411764705882,1118.25,1.01176470588235,0,1,1,batch_clear,1,1,198,0.6,3,198,1.01086956521739
83,83,0,1,619.481927710843,0,619.481927710843,1011.6,1,0,1,1,batch_clear,1,1,198,0.6,4,0,1
86,86,0,1,632.616279069767,0,632.616279069767,1110.6,1,0,1,1,batch_clear,1,1,198,0.6,5,0,1
68,68,0,1,814.235294117647,0,814.235294117647,1292.4,1,0,1,1,baseline,1,2,396,0.55,1,0,1
79,79,0,1,836.430379746835,0,836.430379746835,1321.65,1,0,1,1,baseline,1,2,396,0.55,2,0,1
85,85,0,1,922.235294117647,7.30588235294118,914.929411764706,1433.25,1.07058823529412,0,1,1,baseline,1,2,396,0.55,3,594,1
83,83,0,1,881.89156626506,0,881.89156626506,1407.15,1,0,1,1,baseline,1,2,396,0.55,4,0,1
86,86,0,1,849.03488372093,0,849.03488372093,1456.2,1,0,1,1,baseline,1,2,396,0.55,5,0,1
68,68,0,1,689.029411764706,0,689.029411764706,786.599999999999,1,0,1,1,fast_first,1,2,396,0.5,1,0,1
